iter	Passed	Remaining
0	53	5261
1	54	2647
2	54	1778
3	55	1339
4	56	1073
5	57	896
6	57	769
7	58	675
8	59	601
9	60	540
10	60	491
11	61	451
12	62	419
13	63	391
14	64	367
15	65	345
16	67	327
17	68	310
18	69	294
19	70	280
20	71	268
21	72	255
22	73	244
23	74	234
24	75	225
25	76	216
26	77	208
27	78	201
28	79	193
29	80	186
30	80	180
31	81	173
32	82	167
33	83	161
34	84	156
35	85	151
36	86	146
37	86	141
38	87	137
39	88	132
40	89	129
41	90	125
42	91	121
43	92	117
44	92	113
45	93	110
46	94	106
47	95	103
48	96	100
49	97	97
50	98	94
51	99	91
52	99	88
53	100	85
54	101	83
55	102	80
56	103	78
57	104	75
58	105	73
59	106	70
60	107	68
61	108	66
62	109	64
63	110	61
64	111	59
65	111	57
66	112	55
67	113	53
68	114	51
69	114	49
70	115	47
71	116	45
72	117	43
73	118	41
74	119	39
75	119	37
76	120	36
77	121	34
78	122	32
79	123	30
80	124	29
81	124	27
82	125	25
83	126	24
84	127	22
85	128	20
86	128	19
87	129	17
88	130	16
89	131	14
90	132	13
91	132	11
92	133	10
93	134	8
94	135	7
95	136	5
96	136	4
97	137	2
98	138	1
99	139	0
